name,muscleGroup
Incline Dumbbell Pullover,Chest – Upper
Incline Cable Pullover,Chest – Upper
Decline Bench Press,Chest – Lower
Decline Dumbbell Press,Chest – Lower
Decline Chest Fly,Chest – Lower
Cable Crossover (High to Low),Chest – Lower
Cable Chest Fly (High),Chest – Lower
Chest Dips,Chest – Lower
Decline Machine Press,Chest – Lower
Smith Decline Press,Chest – Lower
Low-to-High Cable Press,Chest – Lower
Decline Push-Up (Feet Elevated),Chest – Lower
Decline Pec Deck,Chest – Lower
Decline Plate-Loaded Press,Chest – Lower
Decline Cable Fly,Chest – Lower
Decline Dumbbell Fly,Chest – Lower
Decline Smith Fly,Chest – Lower
Deadlift,Back – Lower
Sumo Deadlift,Back – Lower
Romanian Deadlift,Back – Lower
Stiff-Leg Deadlift,Back – Lower
Trap Bar Deadlift,Back – Lower
Rack Pull,Back – Lower
Block Pull,Back – Lower
Deficit Deadlift,Back – Lower
Good Morning,Back – Lower
Barbell Good Morning,Back – Lower
Cable RDL,Back – Lower
Single-Leg RDL,Back – Lower
Kettlebell RDL,Back – Lower
Hip Thrust,Back – Lower
Barbell Hip Thrust,Back – Lower
Smith Hip Thrust,Back – Lower
Cable Pull-Through,Back – Lower
Reverse Hyper,Back – Lower
Back Extension,Back – Lower
Seated Back Extension,Back – Lower
Glute-Ham Raise,Back – Lower
Nordic Curl,Back – Lower
Banded RDL,Back – Lower
Landmine RDL,Back – Lower
Suitcase Deadlift,Back – Lower
Zercher Deadlift,Back – Lower
Clean Pull,Back – Lower
Snatch Pull,Back – Lower
Pull-Up,Back – Lats
Weighted Pull-Up,Back – Lats
Neutral Grip Pull-Up,Back – Lats
Chin-Up,Back – Lats
Assisted Pull-Up,Back – Lats
Ring Pull-Up,Back – Lats
Lat Pulldown,Back – Lats
Wide-Grip Pulldown,Back – Lats
Close-Grip Pulldown,Back – Lats
Reverse-Grip Pulldown,Back – Lats
V-Bar Pulldown,Back – Lats
Single-Arm Pulldown,Back – Lats
Straight-Arm Pulldown,Back – Lats
Cable Pullover,Back – Lats
Dumbbell Pullover,Back – Lats
Meadows Row,Back – Lats
Machine Pulldown,Back – Lats
Behind-the-Neck Pulldown,Back – Lats
One-Arm Cable Pulldown,Back – Lats
Underhand Pulldown,Back – Lats
Neutral-Grip Pulldown,Back – Lats
Supinated Pulldown,Back – Lats
Prone Lat Pullover,Back – Lats
Band Pulldown,Back – Lats
Kneeling Cable Pulldown,Back – Lats
Barbell Row,Back – Mid
Pendlay Row,Back – Mid
Yates Row,Back – Mid
T-Bar Row,Back – Mid
Chest-Supported Row,Back – Mid
Seal Row,Back – Mid
One-Arm Dumbbell Row,Back – Mid
Kroc Row,Back – Mid
Inverted Row,Back – Mid
Landmine Row,Back – Mid
Smith Machine Row,Back – Mid
Machine Row,Back – Mid
Seated Cable Row,Back – Mid
Wide-Grip Cable Row,Back – Mid
Underhand Cable Row,Back – Mid
Standing Cable Row,Back – Mid
Iso-Lateral Row,Back – Mid
Dumbbell Chest-Supported Row,Back – Mid
Prone Dumbbell Row,Back – Mid
Single-Arm Machine Row,Back – Mid
Neutral-Grip Cable Row,Back – Mid
Cable Chest-Supported Row,Back – Mid
Smith Chest-Supported Row,Back – Mid
Band Row,Back – Mid
TRX Row,Back – Mid
Face Pull,Back – Upper
Rear Delt Fly (Cable),Back – Upper
Rear Delt Fly (Dumbbell),Back – Upper
Barbell Shrug,Back – Upper
Dumbbell Shrug,Back – Upper
Trap Bar Shrug,Back – Upper
Cable Shrug,Back – Upper
Upright Row,Back – Upper
Snatch-Grip High Pull,Back – Upper
Band Pull-Apart,Back – Upper
Scap Pull-Ups,Back – Upper
Scap Push-Ups,Back – Upper
Prone Y-Raise,Back – Upper
Prone T-Raise,Back – Upper
Prone W-Raise,Back – Upper
Power Shrug,Back – Upper
Smith Shrug,Back – Upper
Machine Shrug,Back – Upper
Farmer’s Carry,Back – Upper
Waiter’s Walk,Back – Upper
Overhead Barbell Press,Shoulders – Front
Push Press,Shoulders – Front
Dumbbell Shoulder Press,Shoulders – Front
Arnold Press,Shoulders – Front
Z-Press,Shoulders – Front
Landmine Press,Shoulders – Front
Single-Arm Landmine Press,Shoulders – Front
Half-Kneeling Press,Shoulders – Front
Smith Shoulder Press,Shoulders – Front
Machine Shoulder Press,Shoulders – Front
Front Raise (Dumbbell),Shoulders – Front
Front Raise (Cable),Shoulders – Front
Plate Raise,Shoulders – Front
Bradford Press,Shoulders – Front
Kettlebell Overhead Press,Shoulders – Front
Single-Arm Dumbbell Press,Shoulders – Front
Seated Barbell Press,Shoulders – Front
Seated Dumbbell Press,Shoulders – Front
Push Jerk,Shoulders – Front
Split Jerk,Shoulders – Front
Lateral Raise,Shoulders – Side
Leaning Lateral Raise,Shoulders – Side
Seated Lateral Raise,Shoulders – Side
Cable Lateral Raise,Shoulders – Side
Single-Arm Cable Lateral Raise,Shoulders – Side
Machine Lateral Raise,Shoulders – Side
Partial Lateral Raise,Shoulders – Side
Dumbbell Upright Row,Shoulders – Side
Cable Upright Row,Shoulders – Side
Band Lateral Raise,Shoulders – Side
Kettlebell Lateral Raise,Shoulders – Side
One-Arm Lateral Raise,Shoulders – Side
Lateral Raise Drop Set,Shoulders – Side
Lateral Raise Iso Hold,Shoulders – Side
Behind-the-Back Lateral Raise,Shoulders – Side
Rear Delt Fly (Dumbbell),Shoulders – Rear
Rear Delt Fly (Machine),Shoulders – Rear
Cable Rear Delt Fly,Shoulders – Rear
Reverse Pec Deck,Shoulders – Rear
Face Pull,Shoulders – Rear
Bent-Over Lateral Raise,Shoulders – Rear
Reverse Cable Fly,Shoulders – Rear
Prone Rear Delt Raise,Shoulders – Rear
Band Pull-Apart,Shoulders – Rear
Y-Raise,Shoulders – Rear
T-Raise,Shoulders – Rear
W-Raise,Shoulders – Rear
Cable External Rotation,Shoulders – Rear
Band External Rotation,Shoulders – Rear
Back Squat,Legs – Quads
Front Squat,Legs – Quads
Goblet Squat,Legs – Quads
Box Squat,Legs – Quads
Pause Squat,Legs – Quads
Tempo Squat,Legs – Quads
Zercher Squat,Legs – Quads
Landmine Squat,Legs – Quads
Heels-Elevated Squat,Legs – Quads
Smith Machine Squat,Legs – Quads
Machine Squat,Legs – Quads
Leg Press,Legs – Quads
Hack Squat,Legs – Quads
Bulgarian Split Squat,Legs – Quads
Smith Bulgarian Split Squat,Legs – Quads
Front-Foot Elevated Split Squat,Legs – Quads
Walking Lunge,Legs – Quads
Reverse Lunge,Legs – Quads
Step-Up,Legs – Quads
Sissy Squat,Legs – Quads
Wall Sit,Legs – Quads
Pistol Squat,Legs – Quads
Belt Squat,Legs – Quads
Pendulum Squat,Legs – Quads
Leg Extension,Legs – Quads
Single-Leg Leg Extension,Legs – Quads
Smith Front Squat,Legs – Quads
Romanian Deadlift,Legs – Hamstrings
Single-Leg RDL,Legs – Hamstrings
Seated Hamstring Curl,Legs – Hamstrings
Lying Hamstring Curl,Legs – Hamstrings
Machine Hamstring Curl,Legs – Hamstrings
Single-Leg Hamstring Curl,Legs – Hamstrings
Stability Ball Curl,Legs – Hamstrings
Sliding Hamstring Curl,Legs – Hamstrings
Cable Hamstring Curl,Legs – Hamstrings
Nordic Curl,Legs – Hamstrings
Nordic Negative,Legs – Hamstrings
Band Hamstring Curl,Legs – Hamstrings
Good Morning (Light),Legs – Hamstrings
Hip Thrust,Legs – Glutes
Barbell Hip Thrust,Legs – Glutes
Smith Hip Thrust,Legs – Glutes
Glute Bridge,Legs – Glutes
Single-Leg Hip Thrust,Legs – Glutes
Cable Kickback,Legs – Glutes
Cable Pull-Through,Legs – Glutes
Bulgarian Split Squat,Legs – Glutes
Curtsy Lunge,Legs – Glutes
Kettlebell Swing,Legs – Glutes
Reverse Hyperextension,Legs – Glutes
Glute Kickback Machine,Legs – Glutes
Frog Pumps,Legs – Glutes
Donkey Kicks,Legs – Glutes
Standing Cable Kickback,Legs – Glutes
Standing Calf Raise,Legs – Calves
Seated Calf Raise,Legs – Calves
Donkey Calf Raise,Legs – Calves
Single-Leg Calf Raise,Legs – Calves
Leg Press Calf Raise,Legs – Calves
Smith Calf Raise,Legs – Calves
Toe Walks,Legs – Calves
Farmer’s Walk,Legs – Calves
Box Jumps,Legs – Calves
Jump Rope,Legs – Calves
Tibialis Raise,Legs – Calves
Heel Walks,Legs – Calves
Barbell Curl,Arms – Biceps
EZ-Bar Curl,Arms – Biceps
Dumbbell Curl,Arms – Biceps
Hammer Curl,Arms – Biceps
Incline Dumbbell Curl,Arms – Biceps
Preacher Curl,Arms – Biceps
Spider Curl,Arms – Biceps
Concentration Curl,Arms – Biceps
Cable Curl,Arms – Biceps
Reverse Curl,Arms – Biceps
Zottman Curl,Arms – Biceps
Machine Curl,Arms – Biceps
Cross-Body Hammer Curl,Arms – Biceps
Drag Curl,Arms – Biceps
Bayesian Curl,Arms – Biceps
Band Curl,Arms – Biceps
Close-Grip Bench Press,Arms – Triceps
Skull Crushers,Arms – Triceps
JM Press,Arms – Triceps
Overhead Triceps Extension,Arms – Triceps
Cable Overhead Extension,Arms – Triceps
Cable Pushdown,Arms – Triceps
Rope Pushdown,Arms – Triceps
Single-Arm Cable Pushdown,Arms – Triceps
Dips,Arms – Triceps
Bench Dips,Arms – Triceps
Diamond Push-Ups,Arms – Triceps
Triceps Kickback,Arms – Triceps
Machine Triceps Extension,Arms – Triceps
Floor Skull Crushers,Arms – Triceps
Single-Arm Overhead Extension,Arms – Triceps
Band Pushdown,Arms – Triceps
Plank,Core
Side Plank,Core
Hanging Leg Raise,Core
Leg Raises,Core
Reverse Crunch,Core
Toe Touch Crunch,Core
Cable Crunch,Core
Machine Crunch,Core
Ab Wheel Rollout,Core
Russian Twist,Core
Pallof Press,Core
Cable Woodchop,Core
Medicine Ball Slam,Core
Hollow Hold,Core
Mountain Climbers,Core
Windshield Wipers,Core
Dead Bug,Core
Bird Dog,Core
Side Bend,Core
Dragon Flag,Core
L-Sit,Core
V-Up,Core
Treadmill Running,Cardio
Sprint Intervals,Cardio
Hill Sprints,Cardio
Bike Sprints,Cardio
Rowing Machine,Cardio
Concept2 Rower,Cardio
Assault Bike,Cardio
Air Bike,Cardio
Elliptical,Cardio
Stair Climber,Cardio
StepMill,Cardio
Battle Ropes,Cardio
Skipping Rope,Cardio
Box Jumps,Cardio
Jump Squats,Cardio
Burpees,Cardio
Bear Crawls,Cardio
Sled Push,Cardio
Sled Pull,Cardio
Shadow Boxing,Cardio
High Knees,Cardio
Turkish Get-Up,Cardio
Kettlebell Swings,Cardio
Jacob’s Ladder,Cardio
Row Sprints,Cardio
Bike Endurance Ride,Cardio
Trail Running,Cardio
Ski Erg,Cardio
Hand Bike,Cardio
Treadmill Incline Walk,Cardio
Stadium Stairs,Cardio
Agility Ladder,Cardio
Shuttle Runs,Cardio
